zip_idx,portfolio_idx,leed_idx,portfolio_address,leed_address,distance_m,leed_certification_level,leed_certification_date,leed_rating_system,leed_project_url,leed_project_id
1118,23178,1356,"225 W Santa Clara St, San Jose, CA, 95113","225 W. Santa Clara St, San Jose, CA 95113.0",0,Certified,2011-12-11,Commercial Interiors,https://www.usgbc.org/projects/deloitte-san-jose,1000007091
1118,23183,6500,"350 W Santa Clara St, San Jose, CA, 95113","350 West Santa Clara Street, San Jose, CA 95113.0",0,Gold,2017-09-12,New Construction,https://www.usgbc.org/projects/ac-hotel-san-jose,1000053654
1118,23175,8780,"111 N Market St, San Jose, CA, 95113","111 North Market Street, San Jose, CA 95113.0",0,Gold,2019-05-03,Existing Buildings,https://www.usgbc.org/projects/market-square-tower-2,1000111121
1118,23176,8256,"111 W Saint John St, San Jose, CA, 95113","111 W St. John Street, San Jose, CA 95113.0",0,Gold,2019-05-03,Existing Buildings,https://www.usgbc.org/projects/market-square-tower-1,1000111096
1118,23190,3135,"60 S Market St, San Jose, CA, 95113","60 S. Market Street, San Jose, CA 95113.0",0,Gold,2014-04-22,Commercial Interiors,https://www.usgbc.org/projects/lpa-san-jose-office,1000035010
1118,23197,4482,"50 W San Fernando St, San Jose, CA, 95113","50 West San Fernando Street, San Jose, CA 95113.0",0,Certified,2008-08-27,Commercial Interiors,https://www.usgbc.org/projects/accenture-11th-and-12th-floors,10097383
1118,23189,8766,"333 W San Fernando St, San Jose, CA, 95113","333 W San Fernando Street, San Jose, CA 95113.0",0,Gold,2023-04-07,New Construction,https://www.usgbc.org/projects/adobe-founders-tower,1000111497
1124,4431,54,"1855 Lucretia Ave., San Jose, CA, 95122","1855 Lucretia Ave, San Jose, CA 95122.0",0,Silver,2019-02-14,Schools - New Construction,https://www.usgbc.org/projects/yerba-buena-new-student-union-and-quad,1000072348
1129,2349,390,"560 South Winchester Boulevard, San Jose, CA, 95128","560 S. Winchester Boulevard, San Jose, CA 95128.0",0,Gold,2019-11-11,Existing Buildings,https://www.usgbc.org/projects/century-plaza-ii-2020-recert,1000085535
1129,3166,2284,"2100 Moorpark Avenue, San Jose, CA, 95128","2100 Moorpark Ave., San Jose, CA 95128.0",0,Silver,2013-10-29,New Construction,https://www.usgbc.org/projects/sjcc-multidisciplinary-arts-building,1000006222
1129,23250,5457,"3060 Olsen Dr, San Jose, CA, 95128","3060 Olsen Drive, San Jose, CA 95128.0",0,Certified,2021-03-18,Core and Shell,https://www.usgbc.org/projects/700-santana-row,1000054181
1130,23294,1291,"1600 Saratoga Ave, San Jose, CA, 95129","1600 Saratoga Avenue, San Jose, CA 95129.0",0,Platinum,2015-03-31,Retail - Commercial Interiors,https://www.usgbc.org/projects/nike-factory-store-westgate-san-jose,1000031879
1132,2508,7994,"2150 North First Street, San Jose, CA, 95131","2150 North First Street, San Jose, CA 95131.0",0,Certified,2021-03-01,Commercial Interiors,https://www.usgbc.org/projects/kaiser-santa-clara-bhc,1000105551
1135,3371,7067,"3655 North First Street, San Jose, CA, 95134","3655 North 1st Street, San Jose, CA 95134.0",0,Silver,2016-07-04,New Construction,https://www.usgbc.org/projects/samsung-ahq-ds-project,1000030752
