id_building,energy_site_eui_post_odcv
BOS_103544,391.8
BOS_103546,46.4
BOS_103549,26.4
BOS_103550,40.8
BOS_103551,91.7
BOS_103552,58.3
BOS_103553,47.4
BOS_103554,91.6
BOS_103555,34.3
BOS_103556,29.4
BOS_103562,51.7
BOS_103564,46.7
BOS_103566,32.0
BOS_103568,53.4
BOS_103569,64.7
BOS_103570,71.6
BOS_103571,128.0
BOS_103572,37.7
BOS_103575,115.5
BOS_103576,29.5
BOS_103580,84.2
BOS_103581,60.7
BOS_103589,136.0
BOS_103590,53.6
BOS_103591,54.0
BOS_103592,42.2
BOS_103594,21.9
BOS_103599,134.6
BOS_103609,53.0
BOS_103619,155.8
BOS_103620,122.5
BOS_103664,78.2
BOS_103666,99.2
BOS_103667,103.9
BOS_103669,32.8
BOS_103762,27.1
BOS_103767,68.8
BOS_103770,69.6
BOS_103779,149.3
BOS_103788,40.9
BOS_103793,49.0
BOS_103801,78.5
BOS_103804,53.1
BOS_103807,55.0
BOS_103811,59.8
BOS_103813,105.2
BOS_103823,54.1
BOS_103856,62.5
BOS_103859,215.3
BOS_103866,15.8
BOS_103869,94.1
BOS_103876,34.2
BOS_103877,71.6
BOS_103885,169.8
BOS_103891,107.7
BOS_103900,65.6
BOS_103901,132.4
BOS_103905,146.2
BOS_103906,92.6
BOS_103907,47.6
BOS_103921,15.0
BOS_103922,72.5
BOS_103932,266.3
BOS_103937,51.8
BOS_103940,48.9
BOS_103944,19.0
BOS_103946,81.9
BOS_103948,347.0
BOS_103958,37.6
BOS_103990,115.3
BOS_103994,156.3
BOS_104007,37.9
BOS_104008,35.0
BOS_104009,27.7
BOS_104011,35.7
BOS_104012,48.8
BOS_104015,20.7
BOS_104020,54.3
BOS_104021,63.6
BOS_104040,46.0
BOS_104041,33.0
BOS_104061,92.9
BOS_104066,82.8
BOS_104081,50.3
BOS_104088,20.4
BOS_104091,74.5
BOS_104093,367.0
BOS_104102,25.9
BOS_104103,22.4
BOS_104116,205.2
BOS_104145,36.2
BOS_104151,30.5
