portfolio_idx,id_building,loc_address,leed_project_url,extracted_name
6181,CA_3503343,"500 Terry A Francois Boulevard, San Francisco, CA, 94158",https://www.usgbc.org/projects/meraki-headquarters,Meraki Headquarters
6222,CA_3513692,"333 City Boulevard West, Orange, CA, 92868",https://www.usgbc.org/projects/dof-ii-city-tower-llc,Dof II City Tower LLC
6241,CA_3533,"350 California Street, San Francisco, CA, 94104",https://www.usgbc.org/projects/union-bank-350-ca-15th-floor,Union Bank 350 Ca 15Th Floor
6243,CA_3535852,"101 New Montgomery Street, San Francisco, CA, 94105",https://www.usgbc.org/projects/rialto-building-1,Rialto Building
6245,CA_3541633,"115 Sansome Street, San Francisco, CA, 94104",https://www.usgbc.org/projects/m-moser-san-francisco-0,M Moser San Francisco
6248,CA_35424668,"2855 East Guasti Road, Ontario, CA, 91761",https://www.usgbc.org/projects/ontario-airport-towers,Ontario Airport Towers
6301,CA_35871528,"7815 North Palm Avenue, Fresno, CA, 93711",https://www.usgbc.org/projects/united-states-government-gsa,United States Government Gsa
6304,CA_35901232,"801 12Th Street, Sacramento, CA, 95814",https://www.usgbc.org/projects/sacramento-housing-redevelopment-agenc,Sacramento Housing Redevelopment Agenc
6316,CA_3592002,"5893 Copley Drive, San Diego, CA, 92111",https://www.usgbc.org/projects/terraces-copley-point-building-1,Terraces Copley Point Building
6342,CA_3592101,"5251 Viewridge Court, San Diego, CA, 92123",https://www.usgbc.org/projects/kp-viewridge-medical-office,Kp Viewridge Medical Office
6361,CA_3598642,"2329 Gateway Oaks Drive, Sacramento, CA, 95833",https://www.usgbc.org/projects/natomas-gateway-corporate-center,Natomas Gateway Corporate Center
6374,CA_36017662,"2121 Center St, Berkeley, CA, 94704",https://www.usgbc.org/projects/2121-center-street,2121 Center Street
6422,CA_36234387,"1050 North Mills Avenue, Claremont, CA, 91711",https://www.usgbc.org/projects/pitzer-college-residential-life-project,Pitzer College Residential Life Project
6423,CA_3624889,"207 Goode Avenue, Glendale, CA, 91205",https://www.usgbc.org/projects/207-goode-avenue,207 Goode Avenue
6484,CA_3640267,"650 Newport Center Drive, Newport Beach, CA, 92660",https://www.usgbc.org/projects/650-newport-center-drive,650 Newport Center Drive
6485,CA_3640539,"800 Corporate Pointe Walk, Culver City, CA, 90230",https://www.usgbc.org/projects/syska-hennessy,Syska Hennessy
6487,CA_36459496,"391 San Antonio Road, Mountain View, CA, 94040",https://www.usgbc.org/projects/village-san-antonio-center-north,Village San Antonio Center North
6514,CA_36648547,"501 Colorado Avenue, Santa Monica, CA, 90401",https://www.usgbc.org/projects/hampton-inn-suites-santa-monica,Hampton Inn Suites Santa Monica
6536,CA_36840925,"199 Continental Boulevard, El Segundo, CA, 90245",https://www.usgbc.org/projects/cambria-suites,Cambria Suites
6612,CA_3892723,"790 East Colorado Boulevard, Pasadena, CA, 91101",https://www.usgbc.org/projects/sfiii-colorado-llc,Sfiii Colorado LLC
6613,CA_3892725,"155 North Lake Avenue, Pasadena, CA, 91101",https://www.usgbc.org/projects/sfiii-lake-llc-155,Sfiii Lake LLC
6614,CA_3892726,"35 North Lake Avenue, Pasadena, CA, 91101",https://www.usgbc.org/projects/sfiii-lake-llc-35,Sfiii Lake LLC
6618,CA_3920466,"1010 Riverside Parkway, West Sacramento, CA, 95605",https://www.usgbc.org/projects/california-dept-fish-and-wildlife-0,California Dept Fish And Wildlife
6621,CA_3921882,"975 California Avenue, Palo Alto, CA, 94304",https://www.usgbc.org/projects/975-south-california,975 South California
6634,CA_3938440,"10600 White Rock Road, Rancho Cordova, CA, 95670",https://www.usgbc.org/projects/state-controllers-office-ti,State Controllers Office Ti
6636,CA_3938496,"1747 North Market Boulevard, Sacramento, CA, 95834",https://www.usgbc.org/projects/department-consumer-affairs,Department Consumer Affairs
6637,CA_3938506,"2420 Del Paso Road, Sacramento, CA, 95834",https://www.usgbc.org/projects/del-paso-office-bldg-ii-recertification,Del Paso Office Bldg
6649,CA_3955509,"140 New Montgomery, San Francisco, CA, 94105",https://www.usgbc.org/projects/knoll-san-francisco-showroom,Knoll San Francisco Showroom
6678,CA_3979808,"15 Enterprise, Aliso Viejo, CA, 92656",https://www.usgbc.org/projects/15-enterprise-summit-campus,15 Enterprise Summit Campus
6702,CA_3991759,"1300 Clay Street, Oakland, CA, 94612",https://www.usgbc.org/projects/1300-clay-dnu,1300 Clay Dnu
6703,CA_3993172,"1355 Market Street, San Francisco, CA, 94103",https://www.usgbc.org/projects/1355-market-st,1355 Market St
6704,CA_3993539,"505 14Th Street, Oakland, CA, 94612",https://www.usgbc.org/projects/505-14th-street-dnu,505 14Th Street Dnu
6723,CA_4037982,"520 Newport Center Drive, Newport Beach, CA, 92660",https://www.usgbc.org/projects/520-newport-center-drive,520 Newport Center Drive
6750,CA_4062853,"2535 Capitol Oaks Drive, Sacramento, CA, 95833",https://www.usgbc.org/projects/capitol-oaks-2021,Capitol Oaks
6755,CA_4076184,"2300 Camino Ramon, San Ramon, CA, 94583",https://www.usgbc.org/projects/kaiser-bishop-ranch-mob,Kaiser Bishop Ranch Mob
6757,CA_4076189,"26877 Tourney Road, Santa Clarita, CA, 91355",https://www.usgbc.org/projects/kaiser-permanente-santa-clarita,Kaiser Permanente Santa Clarita
6778,CA_41080592,"2020 West El Camino Avenue, Sacramento, CA, 95833",https://www.usgbc.org/projects/ca-dept-housing-community-develop,Ca Dept Housing Community Develop
6786,CA_41204092,"4340 Von Karman Avenue, Newport Beach, CA, 92660",https://www.usgbc.org/projects/4340-von-karman-0,4340 Von Karman
6792,CA_4123773,"5451 Great America Parkway, Santa Clara, CA, 95054",https://www.usgbc.org/projects/santa-clara-gateway-phase-1,Santa Clara Gateway Phase
6839,CA_4226500,"4420 Rosewood Drive, Pleasanton, CA, 94588",https://www.usgbc.org/projects/ellie-mae,Ellie Mae
6843,CA_4226792,"1333 Old Bayshore Highway, Burlingame, CA, 94010",https://www.usgbc.org/projects/hyatt-regency-san-francisco-airport,Hyatt Regency San Francisco Airport
6896,CA_4316941,"1117 California Avenue, Palo Alto, CA, 94304",https://www.usgbc.org/projects/1117-california,1117 California
6912,CA_4338279,"4840 Eastgate Mall, San Diego, CA, 92121",https://www.usgbc.org/projects/amylin-4840,Amylin
6935,CA_4380032,"125 Shoreline Parkway, San Rafael, CA, 94901",https://www.usgbc.org/projects/t2772-san-rafael,T2772 San Rafael
6944,CA_4393064,"8045 E Chapman Avenue, Orange, CA, 92869",https://www.usgbc.org/projects/santiago-canyon-college-humanities-bld,Santiago Canyon College Humanities Bld
6967,CA_4410346,"9000 Overland Avenue, Culver City, CA, 90230",https://www.usgbc.org/projects/west-los-angeles-community-col,West Los Angeles Community Col
6983,CA_4432193,"904 Arastradero Road, Palo Alto, CA, 94304",https://www.usgbc.org/projects/vmware-phase-3-cse,Vmware Phase 3 Cse
6984,CA_4433246,"23 Geary Street, San Francisco, CA, 94108",https://www.usgbc.org/projects/advisory-board-company-san-francisco,Advisory Board Company San Francisco
6985,CA_4435879,"4200 Farm Hill Boulevard, Redwood City, CA, 94061",https://www.usgbc.org/projects/canada-kinesiology-and-wellness-building,Canada Kinesiology And Wellness Building
6987,CA_4435881,"1700 West Hillsdale Boulevard, San Mateo, CA, 94402",https://www.usgbc.org/projects/college-san-mateo-bldg-10n,College San Mateo Bldg 10N
7015,CA_4562849,"906 Arastradero Road, Palo Alto, CA, 94304",https://www.usgbc.org/projects/vmware-phase-3-csf,Vmware Phase 3 Csf
7033,CA_4624552,"3355 Scott Boulevard, Santa Clara, CA, 95054",https://www.usgbc.org/projects/3355-scott-blvd,3355 Scott Blvd
7034,CA_4624559,"3325 Scott Boulevard, Santa Clara, CA, 95054",https://www.usgbc.org/projects/3325-scott-blvd,3325 Scott Blvd
7035,CA_4624564,"3315 Scott Boulevard, Santa Clara, CA, 95054",https://www.usgbc.org/projects/3315-scott-blvd,3315 Scott Blvd
7047,CA_4697150,"5104 Commons Drive, Rocklin, CA, 95677",https://www.usgbc.org/projects/t2604-rocklin,T2604 Rocklin
7073,CA_4735922,"188 The Embarcadero, San Francisco, CA, 94105",https://www.usgbc.org/projects/google-188-embarcadero,Google 188 Embarcadero
7074,CA_4735939,"4216 El Camino Real, Palo Alto, CA, 94306",https://www.usgbc.org/projects/hilton-garden-inn-palo-alto,Hilton Garden Inn Palo Alto
7076,CA_4744078,"4085 Campbell Avenue, Menlo Park, CA, 94025",https://www.usgbc.org/projects/4085-campbell-avenue,4085 Campbell Avenue
7102,CA_4810228,"15000 Kensington Park Drive, Tustin, CA, 92782",https://www.usgbc.org/projects/hoag-health-center-tustin-legacy,Hoag Health Center Tustin Legacy
7201,CA_4831407,"15378 Avenue Of Science, San Diego, CA, 92128",https://www.usgbc.org/projects/turner-san-diego-office-ti,Turner San Diego Office Ti
7204,CA_4835982,"690 East Middlefield Road, Mountain View, CA, 94043",https://www.usgbc.org/projects/690-e-middlefield-road,690 E Middlefield Road
7235,CA_4870903,"30 Enterprise, Aliso Viejo, CA, 92656",https://www.usgbc.org/projects/bausch-and-lomb-phase-2,Bausch And Lomb Phase
7253,CA_4938766,"1330 Broadway, Oakland, CA, 94612",https://www.usgbc.org/projects/1330-broadway,1330 Broadway
7262,CA_4971339,"6526 Yount Street, Yountville, CA, 94599",https://www.usgbc.org/projects/bardessono,Bardessono
7263,CA_4971513,"6121 Sunset Boulevard, Los Angeles, CA, 90028",https://www.usgbc.org/projects/columbia-square-historic-group,Columbia Square Historic Group
7294,CA_5019297,"800 Apollo Street, El Segundo, CA, 90245",https://www.usgbc.org/projects/800-apollo,800 Apollo
7319,CA_5070358,"28515 Westinghouse Place, Santa Clarita, CA, 91355",https://www.usgbc.org/projects/summit-oaks-0,Summit Oaks
7323,CA_50797392,"520 3Rd Street, Santa Rosa, CA, 95401",https://www.usgbc.org/projects/tlcd-architecture,Tlcd Architecture
7330,CA_5104342,"1600 South Douglass Road, Anaheim, CA, 92806",https://www.usgbc.org/projects/arena-corporate-center-iii-0,Arena Corporate Center IIi
7350,CA_5199,"650 Page Mill Road, Palo Alto, CA, 94304",https://www.usgbc.org/projects/650-page-mill-road,650 Page Mill Road
7365,CA_5225869,"2201 Blue Gum Ave., Modesto, CA, 95358",https://www.usgbc.org/projects/yccd-district-office,Yccd District Office
7373,CA_5243362,"1750 East 4Th Street, Santa Ana, CA, 92705",https://www.usgbc.org/projects/1750-e-4th-street-caltrans-ti,1750 E 4Th Street Caltrans Ti
7387,CA_52556792,"8430 Sunset Boulevard, West Hollywood, CA, 90069",https://www.usgbc.org/projects/pendry-west-hollywood-hotel,Pendry West Hollywood Hotel
7402,CA_53065292,"221 South Grand Avenue, Los Angeles, CA, 90012",https://www.usgbc.org/projects/broad-museum-and-garage,Broad Museum And Garage
7460,CA_54481892,"1700 East Walnut Avenue, El Segundo, CA, 90245",https://www.usgbc.org/projects/1700-walnut,1700 Walnut
7463,CA_54587192,"3175 Bowers Avenue, Santa Clara, CA, 95054",https://www.usgbc.org/projects/3175-bowers,3175 Bowers
7467,CA_54925792,"2455 Broadway, Oakland, CA, 94612",https://www.usgbc.org/projects/2401-broadway,2401 Broadway
7491,CA_5529217,"3059 Townsgate Road, Westlake Village, CA, 91361",https://www.usgbc.org/projects/westlake-park-place-building-c,Westlake Park Place Building C
7498,CA_5534267,"1050 Enterprise Way, Sunnyvale, CA, 94089",https://www.usgbc.org/projects/level-10-construction-main-office,Level 10 Construction Main Office
7544,CA_56002192,"10850 White Rock Road, Rancho Cordova, CA, 95670",https://www.usgbc.org/projects/bank-america-capital-center-ii-ca3701,Bank America Capital Center II Ca3701
7587,CA_56881395,"4760 Clairemont Mesa Boulevard, San Diego, CA, 92117",https://www.usgbc.org/projects/sdge-energy-innovation-center-0,Sdge Energy Innovation Center
7617,CA_5711926,"3419 Hillview Avenue, Palo Alto, CA, 94304",https://www.usgbc.org/projects/vmware-phase-3-htb,Vmware Phase 3 Htb
7618,CA_5711928,"3425 Hillview Avenue, Palo Alto, CA, 94304",https://www.usgbc.org/projects/vmware-phase-2-hta,Vmware Phase 2 Hta
7675,CA_5763996,"100 North Citrus Street, West Covina, CA, 91791",https://www.usgbc.org/projects/108824-eastland-plaza,108824 Eastland Plaza
7698,CA_57855694,"2947 Bradley Street, Pasadena, CA, 91107",https://www.usgbc.org/projects/earthlink,Earthlink
7701,CA_5787740,"3801 Market Street, Riverside, CA, 92501",https://www.usgbc.org/projects/rccd-culinary-arts-and-district-offices,Rccd Culinary Arts And District Offices
7718,CA_5806634,"600 Bair Island Road, Redwood City, CA, 94063",https://www.usgbc.org/projects/courtyard-marriott-redwood-city,Courtyard Marriott Redwood City
7722,CA_5810960,"17911 Von Karman Avenue, Irvine, CA, 92614",https://www.usgbc.org/projects/17911-von-karman,17911 Von Karman
7729,CA_5818337,"8560 Sunset Boulevard, West Hollywood, CA, 90069",https://www.usgbc.org/projects/sunset-millennium,Sunset Millennium
7736,CA_58264392,"365 Tuolumne Street, Vallejo, CA, 94590",https://www.usgbc.org/projects/solano-co-health-social-services,Solano Co Health Social Services
7737,CA_58265692,"2330 Utah Avenue, El Segundo, CA, 90245",https://www.usgbc.org/projects/ascend-2330-utah-office,Ascend 2330 Utah Office
7776,CA_5881013,"16 Technology Drive, Irvine, CA, 92618",https://www.usgbc.org/projects/constructive-technologies-group-irvine,Constructive Technologies Group Irvine
