"Benchmarking ID","Building Address","Building City","Building State","Building Zip","Building Name","Primary Type","Gross Floor Area","Submission Status #7","X Coordinate","Y Coordinate","Owner Company","Compliance Required","Submission Year","Energy Star Score","Weather Normalized Site EUI (kBtu/ft^2)","Direct GHG Emissions (Metric Tons CO2e)","Indirect GHG Emissions (Metric Tons CO2e)","Weather Normalized Source EUI (kBtu/ft^2)","Indoor Water Use (All Water Sources) (kgal)","Outdoor Water Use (All Water Sources) (kgal)","Water Use (All Water Sources) (kgal)"
"08-CM-01805","1801 Grand Blvd","Kansas City","Missouri","64,108","Church of Scientology of Kansas City",,"67,992","submitted","39.0915262","-94.5810284","Church of Scientology of Kansas City","By Ordinance","2,023","12","45.7","0","393.5","127.90","562.7","Not Available","562.7"
"08-CM-01815","1828 Walnut St","Kansas City","Missouri","64,108","Corrigan Station","Office","121,303","submitted","39.0907102","-94.5827336","Corrigan Station LLC","By Ordinance","2,023","74","49.2","0","762.4","137.80","Not Available","Not Available","1,199.7"
"08-CM-02045","2001 Main St","Kansas City","Missouri","64,108","Kansas City MO H2S","Hotel","67,321","submitted","39.0888695","-94.5832805","Port Authority Of KCMO","By Ordinance","2,023","74","71.4","99.2","385.1","152.50","Not Available","Not Available","2,235.2"
"05-CM-01275","427 W 12th St","Kansas City","Missouri","64,105",,,"136,560","noSubmittal","39.0998933","-94.5895469","Broadway Square Partners LLP","Not Applicable","2,023","0","0","0","0","0.00","0","0","0"
"08-CM-02140","2114 Central St","Kansas City","Missouri","64,108","D. A. Morr","Office","93,037","submitted","39.0867543","-94.5879528","Broadway Square Partners LLP","By Ordinance","2,023","1","316.4","0","3,760.4","886.00","13.6","Not Available","13.6"
"05-CM-01285","1220 Washington St","Kansas City","Missouri","64,105","1220 Washington","Office","41,818","noSubmittal","39.0988997","-94.5904567","KC Residence LLC","Voluntarily","2,023","0","0","0","0","0.00","0","0","0"
"08-CM-02210","2200 Gillham Rd","Kansas City","Missouri","64,108","East (north) Garage","Parking","260,344","submitted","39.085569","-94.5789728","Crown Power & Redevelopment Corp","By Ordinance","2,023","Not Available","4.2","0","139.4","11.70","Not Available","Not Available","1.5"
"08-CM-02320","2300 Main St","Kansas City","Missouri","64,108","Two Pershing Square","Office","516,936","submitted","39.0858281","-94.5852559","KCO 2300 MAIN 520 LLC","By Ordinance","2,023","86","48.2","0","3,276.7","135.00","3557.9","Not Available","5,807"
"08-CM-02340","2301 Main St","Kansas City","Missouri","64,108","Blue Cross Blue Shield of Kansas City-2301","Office","201,893","submitted","39.0854526","-94.5834417","Blue Cross & Blue Shield Of Kansas City","By Ordinance","2,023","70","72.9","0","1,902.3","204.00","Not Available","Not Available","2,415.3"
"08-CM-02350","2301 Mcgee St","Kansas City","Missouri","64,108","2301 McGee & Garage","Office","303,002","submitted","39.0860448","-94.5800863","Crown Power & Redevelopment Corp","By Ordinance","2,023","86","53.6","0","1,135.3","150.20","Not Available","Not Available","1,132.4"
"08-CM-02355","2323 Grand Blvd","Kansas City","Missouri","64,108","SRC 2323 Kansas City","Financial Office","347,457","submitted","39.0856677","-94.5810633","Cushman and Wakefield","By Ordinance","2,023","90","45","0","2,042.5","126.00","3082.3","Not Available","3,082.3"
"08-CM-02360","2345 Grand Blvd","Kansas City","Missouri","64,108","2345 Grand","Office","640,914","submitted","39.0850666","-94.5808617","Cip18 LC Grand Blvd Owner LLC","By Ordinance","2,023","68","68.6","0","4,762.8","149.00","Not Available","Not Available","4,102.9"
