1007050039,76.3,51.74170792,under,32.2
1007080031,74.8,64.74788289,under,13.4
1007080037,79.7,46.87532595,under,41.2
1007120001,74.5,58.91755005,under,20.9
1007120029,62.6,89.36535375,over,42.8
1007120036,50.8,154.4348449,over,204
1007120042,93.9,76.6477346,under,18.4
1007120046,89.2,39.37047529,under,55.9
1007130001,52.9,118.0962033,over,123.2
1007280060,94.8,34.95698107,under,63.1
1007290163,,48.3,under,36
1007310001,83.6,61.86531085,under,26
1007390001,43.6,251.4112911,over,476.6
1007540078,96.8,53.2361896,under,45
1007570031,90,80.23043646,under,10.9
1007570054,73.5,42.2116314,under,42.6
1007580082,117.6,63.04132732,under,46.4
1007590031,44.9,33.9515522,under,24.4
1007590037,105.4,35.70069386,under,66.1
1007590045,76,52.08385,under,31.5
1007600012,123.1,16.40177345,under,86.7
1007600032,100.6,33.19760946,under,67
1007600043,105.1,26.22175573,under,75.1
1007600055,56,26.55145834,under,52.6
1007600063,172.1,27.30451566,under,84.1
1007610033,129.1,23.90113741,under,81.5
1007610037,131.6,15.86742142,under,87.9
1007610053,115.1,15.63699685,under,86.4
1007620019,136.8,50.45330435,under,63.1
1007620033,68.4,48.53314973,under,29
1007620042,88.8,35.05019166,under,60.5
1007620050,120.1,26.62810399,under,77.8
1007630018,120.3,27.80239481,under,76.9
1007630024,115.5,32.01594239,under,72.3
1007630049,59.9,33.95155219,under,43.3
1007640001,112.3,23.03321202,under,79.5
1007670012,99.4,58.74897856,under,40.9
1007670015,100.5,78.3520913,under,22
1007670054,123.9,97.67968124,under,21.2
1007680050,90.4,58.2740776,under,35.5
1007760001,118.9,28.76950101,under,75.8
1007760059,77.1,30.26790727,under,60.7
1007780020,93.1,44.81226006,under,51.9
1007780036,54.8,58.32449783,over,6.4
1007780043,84.6,37.52007241,under,55.7
1007790013,95.3,20.37324046,under,78.6
1007790039,132.4,8.589984358,under,93.5
1007790041,107.4,52.06998384,under,51.5
1007790049,65.4,18.41516839,under,71.8
1007790057,104.2,19.89115059,under,80.9
1007790066,109.7,26.0476484,under,76.3
1007790075,105.8,56.79787272,under,46.3
1007800007,102.1,26.0254641,under,74.5
1007800010,132,20.89538383,under,84.2
1007800013,107.4,33.54420938,under,68.8
1007800036,60.7,62.24486586,over,2.5
1007800071,113.9,57.28215553,under,49.7
1007819002,58.7,84.30966909,over,43.6
1007830070,172.5,131.7817179,under,23.6
1007840041,88.5,45.27315395,under,48.8
1007840051,120.8,36.07842409,under,70.1
1007840060,114.2,54.12925473,under,52.6
1007840064,69.7,48.74359547,under,30.1
1007840068,92.6,17.13791994,under,81.5
1007840077,72.8,33.9601418,under,53.4
1007850007,98.3,23.51618285,under,76.1
1007850011,95.1,29.24630482,under,69.2
1007850015,113,61.2322744,under,45.8
1007850018,111.5,38.18718061,under,65.8
1007850025,74.4,37.22925382,under,50
1007850037,87.3,43.70435294,under,49.9
1007850041,101,73.02676115,under,27.7
1007850067,96.9,40.05199355,under,58.7
1007850075,107.9,23.83378065,under,77.9
1007860001,103.4,35.36311282,under,65.8
1007860013,58,47.74708075,under,17.7
1007860023,106.1,27.49200385,under,74.1
1007860051,78.4,44.14452431,under,43.7
1007860068,61,32.25167856,under,47.1
1007860076,85.7,30.7565162,under,64.1
1007870001,122,25.02749161,under,79.5
1007870011,116.3,29.13080652,under,75
1007870020,69.4,18.01322669,under,74
1007870025,94,37.0101862,under,60.6
1007870040,95.5,37.16153168,under,61.1
1007870044,97.8,37.53979969,under,61.6
1007870059,108.1,40.37986902,under,62.6
