bbl,utility_savings_annual,utility_savings_2026,ll97_avoidance_2026,utility_savings_2027,ll97_avoidance_2027,utility_savings_2028,ll97_avoidance_2028,utility_savings_2029,ll97_avoidance_2029,utility_savings_2030,ll97_avoidance_2030,utility_savings_2031,ll97_avoidance_2031,utility_savings_2032,ll97_avoidance_2032,utility_savings_2033,ll97_avoidance_2033,utility_savings_2034,ll97_avoidance_2034,utility_savings_2035,ll97_avoidance_2035,total_1yr,total_5yr,total_10yr,square_footage,carbon_limit_2024_tCO2e,carbon_limit_2030_tCO2e,total_carbon_emissions_2024_tCO2e,total_carbon_emissions_2030_tCO2e,total_elec_kBtu,total_gas_kBtu,total_steam_kBtu,elec_emissions_tCO2e,gas_emissions_tCO2e,steam_emissions_tCO2e,compliance_2024_status,compliance_2030_status,delta_2024_tCO2e,delta_2030_tCO2e,baseline_penalty_2024,baseline_penalty_2030,penalty_after_odcv_2024,penalty_after_odcv_2030
1008300062,8774.97,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,0.00,8774.97,43874.84,87749.68,110000,833.8000,295.9937,135.1828,67.9570,1593299.10,4640.00,0.00,134.9,0.2,0.0,Compliant,Compliant,-698.6172,-228.0367,0.00,0.00,0.00,0.00
1008310042,31789.80,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,0.00,31789.80,158949.02,317898.03,133300,1010.4140,358.6906,390.4264,209.5595,4286672.40,515693.30,0.00,363.0,27.4,0.0,Compliant,Compliant,-619.9876,-149.1311,0.00,0.00,0.00,0.00
1008320001,26594.12,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,0.00,26594.12,132970.60,265941.20,187973,1424.8353,505.8075,486.0396,243.8928,5739049.00,0.00,0.00,486.0,0.0,0.0,Compliant,Compliant,-938.7958,-261.9148,0.00,0.00,0.00,0.00
1008330006,17273.41,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,0.00,17273.41,86367.07,172734.13,120882,916.2856,325.2756,272.6990,136.8682,3219282.90,1095.00,0.00,272.6,0.1,0.0,Compliant,Compliant,-643.5866,-188.4073,0.00,0.00,0.00,0.00
1008340019,4066.93,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,0.00,4066.93,20334.64,40669.28,61745,468.0271,166.1467,94.0067,47.2092,1109132.57,1399.80,0.00,93.9,0.1,0.0,Compliant,Compliant,-374.0204,-118.9374,0.00,0.00,0.00,0.00
1008360010,48011.72,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,0.00,48011.72,240058.60,480117.20,275609,2089.1162,741.6230,597.9859,336.3348,6129316.50,0.00,1755944.10,519.1,0.0,78.9,Compliant,Compliant,-1491.1303,-405.2883,0.00,0.00,0.00,0.00
1008360033,6701.19,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,0.00,6701.19,33505.96,67011.91,62853,476.4257,169.1281,148.4335,74.5876,1750199.40,3940.00,0.00,148.2,0.2,0.0,Compliant,Compliant,-327.9922,-94.5405,0.00,0.00,0.00,0.00
1008360035,24848.71,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,0.00,24848.71,124243.54,248487.09,148709,1127.2142,400.1539,387.1017,194.3376,4568644.70,3457.00,0.00,386.9,0.2,0.0,Compliant,Compliant,-740.1125,-205.8163,0.00,0.00,0.00,0.00
1008360043,18563.92,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,0.00,18563.92,92819.62,185639.25,154340,1169.8972,415.3061,190.8056,95.7780,2252222.20,1226.00,0.00,190.7,0.1,0.0,Compliant,Compliant,-979.0916,-319.5281,0.00,0.00,0.00,0.00
1008370036,12061.22,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,0.00,12061.22,60306.11,120612.22,87301,661.7416,234.9141,286.4002,144.0646,3373454.20,13230.00,0.00,285.7,0.7,0.0,Compliant,Compliant,-375.3414,-90.8495,0.00,0.00,0.00,0.00
