final_rank,bbl,address,total_score,core_score,bonus_score,cost_savings_score,bas_automation_score,ownership_score,complexity_score,energy_star_bonus,prestige_bonus,total_1yr,utility_savings_annual,Has Building Automation,owner_building_count,ownername,Class,LL33 grade,GreenRating,Latest_ENERGY_STAR_Score,energy_star_gap,total_10_year_savings,savings_per_sqft,odcv_rank
859.0,1007870001,265-269 W 37th St,43.47899910634495,41.47899910634495,2,16.47899910634495,19.0,6,0,0,2,50400.53,50400.53,yes,3.0,Meyer Equities,C,A,,88.0,,365858.64762289013,0.22315140486500368,643.0
860.0,1007850029,223-225 W 35th St,43.47721179624665,43.47721179624665,0,14.47721179624665,19.0,8,2,0,0,43564.17,43564.17,yes,2.0,Condren Realty Mgmt,C,F,,69.0,,316233.3475662593,0.26615288274142995,705.0
861.0,1011130008,"27 W 60 St,  New York,  NY 10023",43.39588918677391,38.39588918677391,5,3.395889186773905,21.0,11,3,0,5,11889.37,11889.37,yes,3.0,Bonafide Estates,B,A,LEED Gold,93.0,,86305.21999050728,0.0886591549715888,1024.0
862.0,1012610019,"35 W 45 St,  New York,  NY 10036",43.35924932975871,41.35924932975871,2,2.359249329758713,24.0,12,3,1,1,9288.92,9288.92,yes,6.0,Stahl Organization,B,C,,64.0,11.0,67428.49150747455,0.16699782464088597,1054.0
863.0,1007627503,307 West 38th Street,43.3083109919571,41.3083109919571,2,25.308310991957104,13.0,3,0,0,2,89226.05,89226.05,yes,1.0,Raber Enterprises,A,,,94.0,,777459.8816481679,0.39574410992442255,443.0
864.0,1007610033,"545 8 Ave,  New York,  NY 10018",43.29624664879357,39.29624664879357,4,11.796246648793566,16.5,11,0,0,4,33472.17,33472.17,yes,5.0,Global Holdings Mgmt,B,A,LEED Certified - Gold,91.0,,242975.2792124106,0.19736414773933347,774.0
865.0,1008390055,8 West 38th Street,43.29401251117069,40.29401251117069,3,9.294012511170688,23.0,8,0,0,3,26624.64,26624.64,yes,2.0,Jay Suites,A,B,,86.0,-18.0,193268.89585975197,0.23746557260078488,852.0
866.0,1008030067,"150 W 28 St,  New York,  NY 10001",43.21805183199285,41.21805183199285,2,4.218051831992851,24.0,13,0,0,2,13592.79,13592.79,yes,7.0,Dezer Properties,C,A,,93.0,,98670.38633962667,0.11001230201445487,1002.0
867.0,1008390070,"42 W 38 St,  New York,  NY 10018",43.2171581769437,40.2171581769437,3,3.2171581769436997,20.0,15,2,0,3,11340.75,11340.75,yes,8.0,Elo Realty,B,A,,89.0,,82322.77434442239,0.17034035778121573,1029.0
868.0,1012750008,9 E 40th St,43.075067024128685,40.075067024128685,3,4.075067024128686,24.0,7,5,0,3,13372.56,13372.56,yes,3.0,Eretz Group,B,A,,94.0,,97071.7315245684,0.15408305295662994,1005.0
869.0,1008780001,287 Park Ave S,43.01161751563896,42.01161751563896,1,13.011617515638964,21.0,3,5,0,1,31831.71,31831.71,yes,1.0,CLI Ventures,B,D,,44.0,,273409.79702154826,0.2990212582078476,793.0
870.0,1017740056,"Gotham Plaza,  New York,  NY 10035",43.0035746201966,41.0035746201966,2,4.003574620196604,24.0,8,5,0,2,13209.16,13209.16,yes,1.0,Blumenfeld Development,A,F,,41.0,,96612.75632749814,0.2240815634118206,1007.0
871.0,1008500025,"33 E 21 St,  New York,  NY 10010",42.968722073279714,39.968722073279714,3,4.968722073279714,19.0,11,5,0,3,15645.75,15645.75,yes,2.0,Centaur Properties,B,A,,91.0,,113572.8718734869,0.1564575,980.0
872.0,1000290036,"1 William St,  New York,  NY 10004",42.899910634495086,40.899910634495086,2,7.899910634495085,20.0,8,5,0,2,23301.19,23301.19,yes,1.0,Banca IMI Securities,B,B,,73.0,0.0,170721.43451446958,0.22191609523809522,897.0
873.0,1005440001,393-399 Lafayette St,42.80428954423593,41.80428954423593,1,20.804289544235925,13.0,6,2,0,1,46680.94,46680.94,yes,4.0,Fisher Brothers Mgmt,B,D,,54.0,,523091.2831656786,0.4579436116779156,675.0
874.0,1008020075,"158 W 27 St,  New York,  NY 10001",42.791778373547814,39.791778373547814,3,6.79177837354781,19.0,11,3,0,3,20779.86,20779.86,yes,3.0,AFIAA,B,A,,90.0,-2.0,150841.4986388633,0.1924061111111111,925.0
875.0,1008117501,469 7th Avenue,42.76496872207328,36.76496872207328,6,16.76496872207328,13.0,7,0,3,3,50694.96,50694.96,yes,4.0,Rockpoint,A,,LEED Certified,63.0,32.0,371851.75817769207,0.26194343112838053,640.0
876.0,1009990009,"151 W 46 St,  New York,  NY 10036",42.75245755138516,42.75245755138516,0,2.7524575513851652,22.0,13,5,0,0,10132.47,10132.47,yes,8.0,Elo Realty,C,,,26.0,,73551.84104769345,0.16567151733158927,1043.0
877.0,1012630067,64 W 48th St,42.6970509383378,41.6970509383378,1,20.697050938337803,17.0,4,0,0,1,63561.62,63561.62,yes,1.0,Muss Development,B,D,,27.0,,521171.6100591916,0.6038420322623549,551.0
878.0,1019120012,127 West 127th Street,42.62466487935657,40.62466487935657,2,19.62466487935657,15.0,4,2,0,2,62270.7,62270.7,yes,1.0,Hearst,B,B,,23.0,,465695.69245905173,0.24280957190038172,559.0
879.0,1007890009,257 West 39th Street,42.59249329758713,40.59249329758713,2,23.592493297587133,13.0,4,0,0,2,80100.93,80100.93,yes,1.0,Manocherian Brothers,C,D,LEED Gold,25.0,,675849.5691708304,0.450068436578171,481.0
