bbl,office_sqft,current_noi,new_noi,utility_savings_annual,ll97_avoidance_2026,ll97_avoidance_2030,ll97_avoidance_2035,ll97_annual_weighted,total_annual_benefit,noi_impact_percentage,cap_rate_median,odcv_value_increase
1008630027,106182.0,3293765.6399999997,3348148.8249999997,49557.65,0.0,7083.06,12840.05,4825.535000000001,54383.185000000005,1.6510945508557802,0.085,639802.1764705882
1008630060,202484.0,6281053.679999999,6323377.889999999,42324.21,0.0,0.0,0.0,0.0,42324.21,0.6738393294546721,0.085,497931.88235294115
1008630067,217564.0,5247643.680000002,5299946.664000002,52224.32,0.0,0.0,786.64,78.664,52302.984,0.9966946536278541,0.0949,551137.8714436248
1008650014,563517.0,22546315.169999994,22840432.996999994,285980.36,0.0,456.82,79090.57,8137.4670000000015,294117.827,1.3045050811289625,0.078,3770741.3717948715
1008660001,109824.0,2648954.8800000004,2685636.8100000005,36681.93,0.0,0.0,0.0,0.0,36681.93,1.3847699059336185,0.0949,386532.45521601685
1008660076,138461.0,4295060.220000001,4348612.292,52613.29,0.0,0.0,9387.82,938.7819999999999,53552.072,1.246829363430904,0.085,630024.3764705881
1008680008,72492.0,1847096.1600000004,1871302.3890000004,23501.56,0.0,0.0,7046.69,704.669,24206.229000000003,1.3105018311553416,0.1009,239903.16154608526
1008680016,481414.0,14933462.279999997,15231984.852999998,286501.59,0.0,10210.07,69159.48,12020.982999999998,298522.57300000003,1.999017825891613,0.085,3512030.2705882355
1008680025,325956.0,13041499.559999997,13253837.300999997,186438.12,0.0,41438.45,51803.96,25899.621,212337.74099999998,1.6281696749909642,0.078,2722278.7307692305
1008680072,63878.0,1627611.44,1647248.545,19246.09,0.0,0.0,3910.15,391.015,19637.105,1.2064983396774356,0.1009,194619.4747274529
1008690034,855860.0,34242958.599999994,34912366.48,578897.7,0.0,150850.3,150850.3,90510.18000000001,669407.88,1.9548774620193012,0.078,8582152.307692308
1008690066,400080.0,10194038.400000004,10511790.976000004,278273.8,0.0,64460.91,72483.21,39478.776000000005,317752.576,3.1170431533787424,0.1009,3149183.1119920714
1008710003,115552.0,2787114.2400000007,2829350.6400000006,42236.4,0.0,0.0,0.0,0.0,42236.4,1.5154168922763638,0.0949,445062.17070600635
1008710060,96805.0,2334936.6,2373554.93,37956.58,0.0,0.0,6617.5,661.75,38618.33,1.6539348434557066,0.0949,406937.0916754479
1008710070,52405.0,1264008.6000000003,1274796.1190000004,10508.79,0.0,0.0,2787.29,278.729,10787.519,0.8534371522472235,0.0949,113672.48682824026
1008720013,288402.0,6956256.240000002,7043197.249000002,86852.93,0.0,0.0,880.79,88.079,86941.00899999999,1.2498247045597612,0.0949,916132.8661749209
1008730067,275213.0,6638137.560000002,6692025.490000002,53887.93,0.0,0.0,0.0,0.0,53887.93,0.8117929089737028,0.0949,567839.0937829295
1008760001,77011.0,2044642.0499999998,2070798.9179999998,25465.91,0.0,0.0,6909.58,690.958,26156.868,1.2792883722605628,0.0877,298253.91106043325
1008760006,176148.05,4676730.727499998,4783858.471499998,87249.12,0.0,33131.04,33131.04,19878.624000000003,107127.744,2.290654524325509,0.0877,1221525.0171037628
1008780065,200757.0,4842258.840000001,4882626.820000001,40367.98,0.0,0.0,0.0,0.0,40367.98,0.8336601023170418,0.0949,425373.8672286618
1008790081,298082.0,7189737.840000001,7283051.5770000005,90829.17,0.0,0.0,24845.67,2484.567,93313.737,1.2978739847905219,0.0949,983284.8998946259
1008800014,54694.0,1319219.28,1332441.341,12719.37,0.0,0.0,5026.91,502.691,13222.061000000002,1.0022640815255521,0.0949,139326.24868282405
1008800084,97146.0,2343161.5200000005,2372257.4810000006,28646.29,0.0,0.0,4496.71,449.671,29095.961,1.2417394512350985,0.0949,306596.00632244465
1008810001,217377.0,5243133.240000002,5334514.096000002,89045.9,0.0,0.0,23349.56,2334.956,91380.856,1.742867324119346,0.0949,962917.344573235
1008820076,70217.0,1693634.0400000003,1717730.0600000003,23245.43,0.0,0.0,8505.9,850.5899999999999,24096.02,1.4227406529925435,0.0949,253909.5890410959
1008830088,232000.0,5595840.0,5672178.679,74788.32,0.0,0.0,15503.59,1550.359,76338.679,1.3642041051924287,0.0949,804411.7913593256
1008860001,65703.0,2038107.0599999998,2046222.4899999998,8115.43,0.0,0.0,0.0,0.0,8115.43,0.3981846763241182,0.085,95475.64705882352
1008870095,433877.0,17359418.769999996,17482481.449999996,123062.68,0.0,0.0,0.0,0.0,123062.68,0.7089101405438358,0.078,1577726.6666666665
1009030047,115291.0,2780818.9200000004,2812206.1310000005,30234.36,0.0,0.0,11528.51,1152.851,31387.211,1.128703878352496,0.0949,330739.841938883
1009400012,105572.0,3274843.44,3294505.96,19662.52,0.0,0.0,0.0,0.0,19662.52,0.6004109924717501,0.085,231323.76470588235
1009930001,60050.0,1843535.0,1850906.4,7371.4,0.0,0.0,0.0,0.0,7371.4,0.39985137249903036,0.09,81904.44444444444
1009930022,304345.0,9343391.499999998,9410235.360999998,66545.94,0.0,0.0,2979.21,297.921,66843.861,0.7154132522435779,0.09,742709.5666666668
1009930029,614006.0,26592599.859999996,26873789.485999994,274509.85,0.0,0.0,66797.76,6679.776,281189.626,1.0573980260687459,0.0766,3670882.8459530026
1009930055,450730.0,19521116.3,19647908.05,123688.24,0.0,0.0,31035.1,3103.5099999999998,126791.75,0.6495107556938227,0.0766,1655244.7780678852
1009940001,1059378.0,32522904.6,32772145.627,247536.02,0.0,0.0,17050.07,1705.007,249241.027,0.7663553734373405,0.09,2769344.744444445
1009950033,1106337.5,47915477.125,49867329.385,1287826.4,708769.81,634196.56,634196.56,664025.8600000001,1951852.26,4.073531929793969,0.0766,25481100.0
1009960001,401298.0,17380216.379999995,17780661.919999994,353197.88,0.0,78746.1,78746.1,47247.659999999996,400445.54,2.3040308086198875,0.0766,5227748.563968668
1009960029,838075.0,36297028.25,36640403.157,304807.91,0.0,57576.24,97788.77,38566.997,343374.907,0.9460138296583551,0.0766,4482701.135770235
1009970029,681611.0,29520572.409999996,29782302.735999998,256393.14,0.0,0.0,53371.86,5337.186,261730.326,0.8866031537767192,0.0766,3416844.9869451695
1009970041,414076.0,17933631.56,18127965.926999997,178936.69,0.0,22311.41,42419.72,15397.677000000001,194334.367,1.0836308661177827,0.0766,2537002.180156658
1009980012,65372.0,2006920.4,2021137.3159999999,14181.33,0.0,0.0,355.86,35.586,14216.916,0.708394612960235,0.09,157965.73333333334
1009980024,43281.0,1328726.7,1349627.052,17947.31,0.0,4786.24,5599.22,2953.042,20900.352000000003,1.5729609407261858,0.09,232226.13333333336
1009990003,191882.0,4871883.979999999,4923971.3599999985,52087.38,0.0,0.0,0.0,0.0,52087.38,1.069142455235562,0.1013,514189.33859822305
1009990009,56160.0,1280447.9999999998,1290580.4699999997,10132.47,0.0,0.0,0.0,0.0,10132.47,0.7913222559604141,0.1023,99046.6275659824
1009990019,549945.75,23818150.432499997,24044629.787499998,221081.64,0.0,0.0,53977.15,5397.715,226479.355,0.9508687739706593,0.0766,2956649.54308094
1009990029,672763.0,29137365.529999997,29636698.677999996,431107.61,0.0,113709.23,113709.23,68225.538,499333.148,1.7137209864971619,0.0766,6518709.503916449
1010030005,715990.5842,31009552.201701995,31227363.672701996,217538.36,0.0,0.0,2731.11,273.111,217811.471,0.7024012136107052,0.0766,2843491.7885117494
1010040020,1553937.0,67301011.47,68393109.934,949339.87,0.0,237930.99,237930.99,142758.59399999998,1092098.464,1.622707356317835,0.0766,14257160.10443864
1010040029,971197.0,42062542.06999999,42716956.49199999,566879.06,0.0,145892.27,145892.27,87535.362,654414.422,1.5558128201356236,0.0766,8543269.216710184
1010070029,1832312.0,79357432.71999997,80789560.72999997,1239834.61,0.0,320489.0,320489.0,192293.4,1432128.01,1.8046551670251672,0.0766,18696188.12010444
1010080037,87573.0,3792786.63,3812041.59,19254.96,0.0,0.0,0.0,0.0,19254.96,0.5076731669453285,0.0766,251370.23498694514
1010090005,527326.1744,22838496.613264002,23043397.503264003,199838.87,0.0,0.0,50620.2,5062.0199999999995,204900.88999999998,0.8971732836433677,0.0766,2674946.3446475193
1010140033,813070.0,35214061.7,35541476.586,320701.75,0.0,0.0,67131.36,6713.136,327414.886,0.9297844957203559,0.0766,4274345.770234987
1010150029,614707.0,26622960.17,27065566.728,392264.59,0.0,83903.28,83903.28,50341.96800000001,442606.558,1.662499418448403,0.0766,5778153.498694517
1010160036,1440374.0,62382597.93999999,63286169.03999999,778226.81,0.0,208907.15,208907.15,125344.29,903571.1000000001,1.448434547193852,0.0766,11795967.362924283
1010210019,158150.0,4855205.0,4993377.278,116471.39,0.0,36034.26,36837.58,21700.888,138172.278,2.845858784541538,0.09,1535247.5333333332
1010240015,736407.0,31893787.17,32033911.901,139896.31,0.0,0.0,2284.21,228.421,140124.731,0.4393480468566129,0.0766,1829304.5822454307
1010250025,553559.0,23974640.29,24435061.4,397508.56,0.0,104854.25,104854.25,62912.55,460421.11,1.9204505445366165,0.0766,6010719.451697128
1010250043,53906.0,1654914.2,1750722.92,74886.31,26977.58,16885.63,16885.63,20922.410000000003,95808.72,5.789346662201581,0.09,1064541.3333333335
1010260032,74550.0,2288685.0,2298719.11,10034.11,0.0,0.0,0.0,0.0,10034.11,0.43842250025669766,0.09,111490.11111111112
1010270020,511700.0,22161727.0,22358961.308,191768.94,0.0,0.0,54653.68,5465.368,197234.308,0.8899771574661127,0.0766,2574860.417754569
1010280029,437052.0,17486450.519999996,17806893.967999995,275144.42,0.0,75498.38,75498.38,45299.028000000006,320443.448,1.8325242600463438,0.078,4108249.333333333
1010290053,189334.0,5812553.800000001,5940504.876000001,108231.71,0.0,32865.61,32865.61,19719.365999999998,127951.076,2.201288459471979,0.09,1421678.6222222224
1010320048,469858.75,20349582.4625,20437734.3025,88151.84,0.0,0.0,0.0,0.0,88151.84,0.4331874629980507,0.0766,1150807.3107049607
1010400029,1489606.0,64514835.85999999,65599578.63399999,955930.04,0.0,214687.89,214687.89,128812.73400000003,1084742.774,1.6813850016668088,0.0766,14161132.81984334
1010540041,49734.0,1526833.7999999998,1532817.0899999999,5983.29,0.0,0.0,0.0,0.0,5983.29,0.39187565797927715,0.09,66481.0
1011020018,206250.0,6331875.0,6516819.734,152040.8,24365.43,38596.27,38596.27,32903.933999999994,184944.734,2.9208525752640413,0.09,2054941.4888888889
1011050036,121658.8,5269042.627999999,5376520.419999999,77326.04,34776.57,27068.54,27068.54,30151.751999999997,107477.79199999999,2.0397973519678274,0.0766,1403104.3342036551
1011130051,96236.0,2443432.04,2469535.778,25688.52,0.0,0.0,4152.18,415.218,26103.738,1.0683226532463739,0.1013,257687.44323790722
1012590019,244709.9,7512593.93,7671629.757999999,137669.57,0.0,35610.43,35610.43,21366.257999999998,159035.828,2.116922989340914,0.09,1767064.7555555557
1012600024,222211.0,9623958.409999998,9707776.708999999,81980.74,0.0,0.0,18375.59,1837.559,83818.299,0.8709337200886761,0.0766,1094233.6684073107
